animal_type,age,sex,intake_condition,season,adopted
dog,12,Female,ill mild,Winter,No
cat,10,Female,injured  severe,Winter,No
rabbit,1,Neutered,normal,Fall,Yes
other,5,Unknown,under age/weight,Summer,No
cat,7,Unknown,under age/weight,Fall,No
dog,17,Spayed,Other,Winter,No
cat,10,Female,normal,Winter,No
cat,4,Unknown,under age/weight,Summer,No
cat,6,Unknown,under age/weight,Fall,No
cat,6,Unknown,under age/weight,Fall,No
dog,1,Neutered,normal,Fall,No
dog,9,Male,normal,Winter,No
dog,2,Spayed,normal,Winter,No
cat,3,Spayed,ill mild,Winter,Yes
Other,0,Female,normal,Fall,Yes
Other,0,Female,normal,Fall,Yes
cat,6,Neutered,normal,Summer,Yes
dog,1,Neutered,normal,Spring,Yes
dog,2,Male,normal,Spring,No
dog,2,Male,normal,Spring,No
dog,2,Male,normal,Spring,No
wild,9,Unknown,injured  severe,Winter,No
cat,7,Unknown,under age/weight,Summer,No
cat,11,Male,injured  severe,Winter,No
bird,3,Unknown,injured  mild,Spring,Yes
bird,5,Unknown,normal,Winter,No
cat,15,Spayed,normal,Summer,No
bird,1,Unknown,injured  severe,Fall,No
dog,4,Spayed,normal,Fall,Yes
cat,10,Female,ill mild,Spring,No
cat,6,Female,under age/weight,Summer,No
cat,7,Unknown,under age/weight,Summer,No
dog,11,Male,normal,Winter,No
cat,10,Neutered,feral,Winter,No
cat,9,Unknown,injured  severe,Fall,No
cat,8,Neutered,fractious,Winter,No
dog,9,Male,normal,Fall,No
other,8,Unknown,injured  severe,Winter,No
dog,5,Female,normal,Summer,No
dog,6,Female,normal,Summer,No
dog,3,Neutered,normal,Spring,Yes
cat,7,Female,normal,Summer,No
cat,7,Female,normal,Summer,No
cat,1,Male,under age/weight,Summer,No
cat,1,Male,under age/weight,Summer,Yes
cat,1,Male,under age/weight,Summer,No
cat,8,Female,normal,Winter,No
dog,13,Neutered,behavior  severe,Spring,No
cat,4,Male,normal,Summer,No
dog,7,Spayed,Other,Spring,Yes
bird,7,Unknown,ill severe,Spring,Yes
cat,3,Male,normal,Winter,No
dog,6,Spayed,normal,Fall,No
cat,1,Spayed,ill mild,Spring,Yes
cat,7,Male,fractious,Fall,No
cat,10,Spayed,normal,Summer,No
cat,8,Female,under age/weight,Winter,No
cat,8,Male,under age/weight,Winter,No
cat,8,Male,under age/weight,Winter,No
dog,9,Male,normal,Fall,No
cat,8,Female,normal,Winter,No
cat,7,Female,under age/weight,Summer,No
dog,17,Neutered,injured  mild,Spring,No
dog,3,Neutered,normal,Fall,Yes
dog,4,Male,normal,Winter,No
dog,13,Female,normal,Winter,No
dog,8,Female,ill severe,Summer,No
dog,11,Neutered,normal,Summer,Yes
dog,10,Neutered,ill severe,Winter,Yes
dog,1,Male,normal,Winter,No
cat,0,Female,under age/weight,Fall,No
dog,7,Spayed,normal,Fall,Yes
cat,2,Male,under age/weight,Summer,No
cat,2,Female,under age/weight,Summer,No
cat,6,Female,ill moderatete,Summer,No
dog,9,Female,injured  moderate,Summer,No
cat,0,Male,under age/weight,Fall,No
cat,0,Female,under age/weight,Fall,No
cat,0,Male,under age/weight,Fall,No
cat,1,Female,i/i report,Fall,No
cat,5,Neutered,normal,Summer,Yes
cat,5,Female,under age/weight,Fall,No
cat,5,Male,under age/weight,Fall,No
cat,3,Spayed,normal,Spring,Yes
cat,5,Male,normal,Fall,No
cat,0,Male,under age/weight,Summer,No
cat,0,Female,under age/weight,Summer,No
dog,18,Spayed,ill severe,Fall,Yes
dog,4,Neutered,normal,Summer,Yes
cat,8,Spayed,normal,Summer,No
cat,6,Unknown,under age/weight,Spring,No
cat,1,Neutered,fractious,Spring,No
dog,4,Neutered,normal,Winter,Yes
cat,7,Female,under age/weight,Fall,No
cat,7,Male,under age/weight,Fall,No
cat,9,Spayed,normal,Winter,Yes
cat,6,Female,normal,Fall,No
cat,7,Unknown,under age/weight,Fall,No
dog,5,Spayed,normal,Spring,No
dog,3,Neutered,normal,Summer,No
dog,6,Female,injured  severe,Fall,No
dog,7,Neutered,normal,Summer,No
cat,11,Neutered,feral,Winter,No
cat,2,Neutered,ill mild,Summer,Yes
Other,8,Unknown,injured  severe,Summer,No
cat,5,Neutered,normal,Summer,No
cat,2,Unknown,ill severe,Summer,No
cat,4,Female,injured  moderate,Summer,No
cat,7,Male,under age/weight,Fall,No
dog,5,Female,injured  moderate,Spring,No
cat,5,Male,normal,Fall,No
dog,9,Female,normal,Winter,No
cat,6,Female,normal,Summer,No
cat,4,Neutered,normal,Fall,Yes
dog,11,Male,normal,Fall,No
cat,0,Male,ill severe,Fall,No
cat,0,Spayed,under age/weight,Summer,No
cat,0,Neutered,under age/weight,Summer,No
dog,7,Male,normal,Spring,No
dog,10,Male,injured  severe,Fall,No
cat,6,Male,under age/weight,Summer,No
dog,16,Spayed,normal,Summer,No
cat,7,Female,normal,Summer,Yes
bird,5,Unknown,injured  severe,Fall,No
cat,3,Male,injured  severe,Fall,No
dog,3,Neutered,normal,Fall,Yes
dog,3,Neutered,injured  moderate,Spring,Yes
cat,6,Female,under age/weight,Summer,No
dog,7,Female,normal,Summer,No
dog,3,Female,normal,Winter,Yes
rabbit,3,Neutered,normal,Winter,No
cat,10,Female,injured  moderate,Summer,No
dog,10,Spayed,normal,Spring,No
dog,12,Male,normal,Summer,No
dog,5,Neutered,normal,Spring,Yes
dog,11,Female,normal,Winter,No
cat,1,Female,under age/weight,Fall,No
dog,7,Neutered,normal,Winter,No
Other,6,Unknown,normal,Winter,No
cat,3,Female,injured  severe,Summer,No
cat,0,Male,under age/weight,Summer,No
dog,3,Neutered,normal,Winter,Yes
dog,1,Neutered,normal,Fall,Yes
rabbit,4,Neutered,normal,Winter,Yes
dog,2,Neutered,fractious,Summer,No
dog,6,Male,normal,Spring,No
dog,11,Neutered,normal,Winter,No
cat,5,Female,under age/weight,Fall,No
dog,4,Spayed,normal,Winter,Yes
bird,2,Unknown,ill moderatete,Spring,No
cat,6,Spayed,normal,Summer,No
cat,5,Neutered,ill moderatete,Summer,No
wild,6,Unknown,ill severe,Fall,No
cat,6,Neutered,injured  mild,Summer,No
